#Frame      Mode1    Mode2    Mode3
       1 -290.790  119.225 -113.592
       2 -288.750  120.266 -112.487
       3 -289.333  119.322 -112.404
       4 -290.074  120.675 -116.694
       5 -291.059  119.035 -116.654
       6 -291.569  121.101 -117.839
       7 -290.395  121.037 -120.647
       8 -290.488  123.677 -120.640
       9 -290.410  121.731 -118.556
      10 -292.460  118.706 -119.800
      11 -289.429  118.031 -120.649
      12 -289.679  117.332 -119.070
      13 -291.233  113.437 -116.937
      14 -291.884  115.361 -118.393
      15 -291.813  114.355 -117.691
      16 -292.242  112.800 -118.701
      17 -292.517  110.009 -117.672
      18 -291.008  111.034 -118.378
      19 -291.079  111.593 -116.519
      20 -291.668  113.406 -116.510
      21 -289.235  111.737 -119.701
      22 -293.002  110.637 -120.642
      23 -292.064  111.887 -122.312
      24 -291.632  110.359 -121.688
      25 -292.912  112.845 -123.433
      26 -290.810  112.833 -121.594
      27 -291.826  115.937 -123.484
      28 -292.051  117.407 -127.247
      29 -292.334  118.675 -128.018
      30 -293.676  115.308 -129.972
      31 -294.060  112.557 -130.174
      32 -294.114  109.403 -130.298
      33 -293.606  107.806 -130.863
      34 -292.712  108.759 -131.627
      35 -291.318  109.128 -132.532
      36 -291.733  109.733 -131.462
      37 -291.278  111.478 -131.292
      38 -291.284  111.734 -130.629
      39 -292.086  110.249 -132.533
      40 -293.052  112.258 -132.806
      41 -290.558  112.623 -130.453
      42 -290.641  113.515 -132.525
      43 -291.675  113.815 -132.985
      44 -293.597  113.227 -131.601
      45 -293.194  115.217 -134.236
      46 -293.783  114.777 -135.763
      47 -295.378  116.335 -132.832
      48 -296.388  115.805 -135.765
      49 -292.970  114.075 -134.561
      50 -293.929  112.277 -134.299
      51 -294.386  112.278 -134.495
      52 -296.507  112.052 -130.851
      53 -295.873  110.909 -131.049
      54 -295.930  113.048 -130.736
      55 -294.575  112.340 -128.261
      56 -298.091  112.613 -129.529
      57 -294.752  112.965 -127.066
      58 -296.210  112.111 -129.565
      59 -295.950  111.119 -129.971
      60 -299.844  110.305 -131.376
      61 -298.008  109.577 -132.188
      62 -295.274  109.631 -132.465
      63 -292.976  109.457 -130.500
      64 -294.720  109.006 -130.729
      65 -294.901  108.081 -129.714
      66 -294.508  106.243 -131.603
      67 -295.371  108.104 -131.905
      68 -296.592  103.492 -132.077
      69 -297.606  103.370 -130.755
      70 -296.702  105.644 -131.180
      71 -295.419  106.630 -131.900
      72 -295.974  109.294 -130.305
      73 -293.566  109.090 -128.408
      74 -294.490  107.738 -124.719
      75 -293.618  106.965 -123.068
      76 -294.663  108.006 -123.470
      77 -295.735  107.106 -129.193
      78 -297.097  104.137 -129.727
      79 -298.456  101.838 -128.851
      80 -297.372  104.484 -126.119
      81 -294.075  102.368 -126.240
      82 -293.503  108.317 -120.270
      83 -295.070  106.733 -124.054
      84 -293.026  107.991 -123.527
      85 -291.492  110.962 -124.690
      86 -293.540  106.055 -126.121
      87 -297.551  103.201 -128.815
      88 -294.519  103.259 -127.967
      89 -297.305  103.963 -127.741
      90 -301.463  102.168 -130.594
      91 -299.036  102.334 -128.423
      92 -298.426  104.972 -126.990
      93 -297.410  104.082 -129.198
      94 -297.362  104.530 -126.551
      95 -297.075  103.346 -123.632
      96 -296.383  104.441 -123.856
      97 -297.770  104.319 -126.106
      98 -298.086  104.647 -127.916
      99 -295.789  104.670 -127.818
     100 -296.237  105.873 -129.495
     101 -296.204  105.068 -126.235
     102 -293.831  104.110 -126.255
     103 -295.235  106.153 -126.460
     104 -293.947  106.260 -127.168
     105 -295.278  103.310 -124.319
     106 -291.545  104.660 -122.481
     107 -295.411  104.524 -121.480
     108 -293.452  107.257 -119.867
     109 -292.264  108.534 -117.863
     110 -293.574  109.489 -119.833
     111 -293.302  104.546 -120.016
     112 -294.449  102.694 -121.548
     113 -294.325  105.695 -121.505
     114 -296.493  105.788 -118.809
     115 -295.875  101.347 -119.411
     116 -296.096  102.807 -119.034
     117 -295.978  103.256 -119.151
     118 -297.138  103.849 -121.189
     119 -295.842  104.683 -123.664
     120 -298.109  103.863 -121.429
     121 -297.149  106.593 -122.148
     122 -296.918  104.541 -125.742
     123 -295.735  108.550 -123.879
     124 -295.522  108.156 -125.507
     125 -294.468  106.298 -126.397
     126 -294.273  105.713 -127.629
     127 -296.114  102.984 -131.034
     128 -294.997  101.934 -129.679
     129 -296.838  102.439 -129.510
     130 -295.544  101.276 -128.502
     131 -296.466  102.077 -132.481
     132 -296.695  102.061 -132.590
     133 -298.312  105.750 -131.826
     134 -296.787  101.530 -131.395
     135 -294.996   99.224 -130.681
     136 -294.855  100.053 -130.984
     137 -294.307  102.642 -128.994
     138 -296.308  101.272 -130.421
     139 -293.580  102.787 -130.536
     140 -293.930  105.100 -128.028
     141 -293.776  107.831 -129.992
     142 -294.450  110.039 -128.602
     143 -292.584  106.321 -127.660
     144 -293.534  106.423 -129.439
     145 -293.072  108.791 -129.401
     146 -293.438  110.087 -127.307
     147 -293.116  106.678 -129.991
     148 -292.599  107.384 -126.618
     149 -294.138  105.989 -128.397
     150 -293.590  109.451 -127.010
     151 -292.282  109.672 -126.850
     152 -292.631  108.432 -122.062
     153 -294.682  106.542 -123.393
     154 -293.909  106.059 -121.554
     155 -293.936  108.809 -120.034
     156 -295.586  107.885 -119.153
     157 -294.212  106.691 -120.298
     158 -291.806  110.034 -119.895
     159 -290.873  109.472 -120.939
     160 -290.057  111.789 -119.743
     161 -290.729  110.623 -123.560
     162 -291.593  112.815 -126.111
     163 -290.906  114.138 -124.391
     164 -291.705  111.439 -123.450
     165 -293.791  111.259 -126.591
     166 -291.669  112.374 -123.265
     167 -289.572  113.169 -123.615
     168 -289.594  110.576 -124.946
     169 -289.512  111.192 -126.778
     170 -293.634  112.867 -125.811
     171 -290.958  110.780 -127.050
     172 -291.788  109.300 -132.758
     173 -293.945  108.374 -132.007
     174 -292.619  108.383 -129.987
     175 -290.838  105.388 -131.210
     176 -290.297  105.326 -129.912
     177 -290.073  108.789 -128.615
     178 -292.972  109.473 -131.806
     179 -289.795  108.375 -131.097
     180 -289.213  110.814 -131.784
     181 -290.828  112.879 -131.942
     182 -293.106  112.616 -130.355
     183 -290.711  112.996 -132.368
     184 -291.688  115.445 -130.353
     185 -292.578  115.202 -129.089
     186 -290.839  115.576 -129.196
     187 -289.763  114.736 -127.836
     188 -289.544  116.938 -125.151
     189 -290.747  116.638 -124.288
     190 -290.934  118.300 -124.823
     191 -291.576  115.981 -124.100
     192 -292.690  115.599 -120.676
     193 -294.054  117.783 -123.201
     194 -294.794  118.720 -123.960
     195 -293.893  117.069 -124.900
     196 -292.927  117.053 -123.341
     197 -292.880  117.175 -122.284
     198 -293.738  116.028 -124.710
     199 -294.991  114.449 -122.517
     200 -294.709  114.672 -123.893
     201 -295.364  115.699 -120.691
     202 -291.330  115.860 -118.157
     203 -292.347  115.108 -121.789
     204 -292.590  115.509 -123.320
     205 -292.266  117.692 -125.816
     206 -290.783  116.050 -126.082
     207 -290.853  118.258 -126.416
     208 -294.242  116.729 -127.715
     209 -291.547  119.263 -127.133
     210 -290.570  121.995 -126.902
     211 -292.951  123.070 -127.196
     212 -291.319  119.785 -128.116
     213 -290.369  119.383 -127.167
     214 -293.805  119.720 -124.244
     215 -293.144  118.749 -126.161
     216 -291.579  119.441 -125.306
     217 -291.898  118.641 -127.317
     218 -293.323  116.122 -127.720
     219 -294.632  115.603 -127.148
     220 -292.699  114.319 -130.531
     221 -294.159  112.873 -133.694
     222 -294.622  114.417 -132.054
     223 -294.756  114.781 -132.634
     224 -295.327  115.465 -131.800
