#Frame      Mode1    Mode2    Mode3
       1 -294.298  113.962 -108.822
       2 -291.866  113.530 -106.012
       3 -293.169  117.145 -105.802
       4 -293.210  117.135 -109.044
       5 -290.819  117.105 -108.284
       6 -291.717  113.700 -110.337
       7 -289.766  114.409 -110.282
       8 -290.372  115.593 -106.830
       9 -290.424  118.862 -105.658
      10 -290.188  119.753 -106.439
      11 -288.925  116.699 -106.611
      12 -288.773  118.382 -109.237
      13 -290.423  117.013 -111.727
      14 -287.244  119.066 -112.261
      15 -290.262  118.221 -112.362
      16 -290.010  120.274 -113.305
      17 -293.378  118.413 -114.817
      18 -290.826  121.659 -115.722
      19 -292.987  118.511 -117.029
      20 -291.230  124.223 -113.756
      21 -291.408  123.469 -114.566
      22 -290.653  123.602 -114.110
      23 -289.848  122.989 -117.111
      24 -285.226  126.758 -117.243
      25 -287.009  126.642 -113.664
      26 -287.000  125.897 -115.603
      27 -284.404  125.451 -119.268
      28 -284.821  124.949 -118.221
      29 -283.467  125.734 -117.969
      30 -285.374  128.020 -115.965
      31 -285.532  126.388 -118.176
      32 -284.071  126.898 -113.850
      33 -285.272  127.290 -116.381
      34 -285.126  128.098 -119.720
      35 -285.132  131.663 -119.104
      36 -283.545  132.980 -118.237
      37 -283.959  133.838 -119.350
      38 -285.985  133.743 -121.378
      39 -286.791  135.435 -119.034
      40 -284.733  131.906 -115.276
      41 -283.791  130.320 -114.807
      42 -287.341  131.611 -116.473
      43 -286.783  131.033 -114.011
      44 -285.649  131.836 -112.421
      45 -286.395  129.706 -111.761
      46 -287.099  131.115 -109.414
      47 -287.183  130.637 -109.249
      48 -283.429  129.853 -107.669
      49 -285.031  128.169 -110.504
      50 -286.424  125.825 -110.429
      51 -285.366  128.757 -113.526
      52 -285.167  126.814 -114.317
      53 -284.114  128.628 -111.045
      54 -286.658  129.144 -111.307
      55 -285.155  127.635 -112.441
      56 -286.394  129.238 -114.460
      57 -285.710  133.266 -115.874
      58 -282.721  131.324 -111.227
      59 -285.495  129.539 -112.654
      60 -284.166  129.704 -110.784
      61 -284.552  130.714 -110.620
      62 -283.791  130.732 -109.703
      63 -282.580  128.627 -109.833
      64 -285.569  128.836 -109.806
      65 -287.334  130.086 -111.868
      66 -288.097  130.816 -111.159
      67 -286.063  131.659 -110.428
      68 -284.594  132.704 -109.277
      69 -287.379  129.200 -110.684
      70 -285.950  132.154 -110.343
      71 -285.294  130.232 -110.477
      72 -282.338  131.214 -108.621
      73 -282.696  128.337 -112.044
      74 -283.883  127.147 -108.747
      75 -284.044  127.055 -104.894
      76 -284.034  129.794 -106.806
      77 -283.815  129.268 -107.250
      78 -282.803  130.734 -108.856
      79 -280.234  131.855 -108.949
      80 -281.045  134.569 -106.264
      81 -281.364  134.114 -107.656
      82 -280.474  137.205 -108.968
      83 -280.472  135.766 -105.764
      84 -275.790  139.712 -103.543
      85 -278.418  141.205 -106.313
      86 -278.141  140.292 -106.819
      87 -279.370  141.037 -104.887
      88 -280.652  135.868 -108.176
      89 -278.384  133.072 -105.249
      90 -281.805  135.211 -106.858
      91 -281.480  131.354 -107.229
      92 -278.987  132.818 -108.261
      93 -280.041  135.652 -107.641
      94 -280.655  132.779 -108.953
      95 -280.798  134.290 -106.665
      96 -279.415  135.654 -107.037
      97 -279.307  135.758 -106.243
      98 -279.103  139.292 -107.373
      99 -277.862  139.907 -108.913
     100 -281.590  137.514 -113.323
     101 -279.477  135.589 -116.402
     102 -281.600  134.154 -118.389
     103 -278.460  135.978 -117.974
     104 -279.405  137.175 -118.251
     105 -277.331  137.175 -118.412
     106 -275.660  139.968 -116.794
     107 -276.995  137.605 -118.111
     108 -275.709  138.047 -118.639
     109 -275.774  139.831 -119.148
     110 -274.524  138.574 -118.668
     111 -274.655  136.723 -115.262
     112 -275.995  139.842 -113.702
     113 -277.880  140.890 -116.230
     114 -278.514  139.651 -115.736
     115 -280.663  136.824 -115.073
