#Frame      Mode1    Mode2    Mode3
       1 -291.160  118.778  -91.019
       2 -295.043  119.067  -90.405
       3 -291.576  116.707  -90.563
       4 -293.821  118.535  -91.947
       5 -292.448  117.714  -89.710
       6 -293.895  117.124  -88.621
       7 -292.834  116.773  -90.688
       8 -292.328  119.056  -87.630
       9 -292.808  118.161  -89.050
      10 -291.660  118.702  -88.580
      11 -291.249  121.894  -88.864
      12 -290.702  121.832  -88.682
      13 -288.976  121.327  -90.542
      14 -290.018  118.881  -92.838
      15 -293.484  117.209  -92.225
      16 -293.220  118.136  -92.798
      17 -293.202  118.730  -97.088
      18 -293.246  117.998  -96.982
      19 -293.147  117.768  -95.482
      20 -293.158  117.391  -99.273
      21 -293.866  117.410 -101.951
      22 -292.122  119.232 -100.817
      23 -292.664  116.542 -102.829
      24 -293.185  115.410 -101.871
      25 -292.984  119.117  -96.609
      26 -291.648  119.451  -95.336
      27 -291.271  121.002  -96.366
      28 -292.050  122.637  -94.063
      29 -292.553  120.703  -97.238
      30 -291.391  119.386  -96.317
      31 -291.656  119.527  -97.799
      32 -292.682  116.580 -100.238
      33 -292.949  118.669  -98.762
      34 -289.146  118.735 -101.008
      35 -289.198  118.493  -99.037
      36 -291.338  117.581 -100.501
      37 -292.683  117.866  -98.160
      38 -292.101  115.566 -100.783
      39 -295.134  113.531  -99.998
      40 -293.905  113.452  -99.473
      41 -291.780  112.689 -100.563
      42 -292.425  115.738  -99.451
      43 -293.153  115.110 -100.560
      44 -292.433  117.767  -99.529
      45 -290.388  117.718  -99.019
      46 -290.636  118.020  -96.498
      47 -291.815  117.567  -96.051
      48 -294.541  118.831  -97.135
      49 -293.228  118.112  -95.834
      50 -291.234  117.719  -96.022
      51 -291.953  118.434  -99.019
      52 -291.898  114.797  -96.481
      53 -291.945  112.108  -98.436
      54 -294.163  110.841  -98.237
      55 -291.861  113.368  -99.114
      56 -292.119  111.765  -97.692
      57 -293.459  111.954  -96.446
      58 -291.531  113.554  -93.119
      59 -291.963  114.844  -93.259
      60 -292.539  112.255  -93.916
      61 -294.072  113.832  -95.183
      62 -293.509  111.118  -95.940
      63 -294.589  110.571  -97.085
      64 -294.951  110.303  -98.308
      65 -298.374  109.026 -100.770
      66 -297.666  110.050  -99.296
      67 -298.072  108.674  -96.051
      68 -296.864  107.259  -97.047
      69 -298.633  106.583  -93.621
      70 -299.204  107.466  -95.668
      71 -299.300  105.280  -95.147
      72 -296.964  105.151  -93.031
      73 -298.450  108.510  -93.290
      74 -297.558  107.168  -92.741
      75 -297.838  107.825  -92.647
      76 -298.992  108.881  -90.186
      77 -297.697  106.509  -91.047
      78 -298.274  105.712  -92.330
      79 -299.777  101.984  -93.214
      80 -299.231  103.685  -90.806
      81 -298.198  103.575  -88.485
      82 -297.529  104.203  -91.588
      83 -298.985  104.137  -91.996
      84 -296.917  106.462  -87.587
      85 -296.222  105.960  -86.676
      86 -295.230  108.355  -86.585
      87 -296.340  105.264  -88.709
      88 -296.379  106.766  -88.616
      89 -297.415  107.351  -84.809
      90 -297.551  108.466  -85.117
      91 -296.246  107.173  -85.009
      92 -294.226  107.049  -84.988
      93 -296.816  107.948  -87.259
      94 -295.883  106.724  -86.024
      95 -297.683  109.516  -85.359
      96 -295.878  109.547  -84.539
      97 -294.692  108.853  -84.112
      98 -295.328  105.405  -81.959
      99 -295.358  109.321  -83.504
     100 -296.841  107.278  -85.038
     101 -297.140  108.528  -82.621
     102 -297.874  107.257  -84.090
     103 -298.624  108.626  -83.443
     104 -297.235  107.618  -85.621
     105 -295.937  105.250  -85.732
     106 -296.049  106.775  -85.499
     107 -293.560  104.518  -85.739
     108 -296.052  106.790  -84.730
     109 -295.551  107.289  -82.724
     110 -294.626  107.411  -79.349
     111 -297.240  107.280  -78.022
     112 -293.010  110.246  -77.897
     113 -293.407  111.136  -76.747
     114 -294.700  111.307  -76.383
     115 -292.943  113.164  -76.116
     116 -293.794  114.781  -79.400
     117 -294.995  111.187  -81.972
     118 -297.312  112.400  -79.137
     119 -293.440  113.056  -78.261
     120 -294.655  110.182  -78.190
     121 -293.272  111.476  -78.531
     122 -296.635  109.381  -81.507
     123 -294.857  107.146  -81.402
     124 -294.575  107.728  -79.803
     125 -295.547  104.950  -81.657
     126 -295.766  106.082  -81.222
     127 -295.876  106.073  -86.715
     128 -296.913  105.156  -81.885
     129 -295.464  108.965  -83.968
     130 -294.997  107.930  -80.823
     131 -295.153  106.209  -81.961
     132 -295.501  106.779  -82.645
     133 -294.963  108.211  -79.504
     134 -293.590  112.781  -78.465
     135 -295.673  111.360  -86.103
     136 -294.937  111.398  -83.465
     137 -295.065  110.473  -83.775
     138 -295.633  112.451  -83.193
     139 -294.997  110.278  -83.109
     140 -294.098  110.653  -84.850
     141 -295.604  108.815  -85.476
     142 -294.961  107.508  -85.029
     143 -296.444  105.872  -83.538
     144 -297.495  105.388  -85.684
     145 -296.064  105.132  -84.122
     146 -296.953  102.687  -84.960
     147 -293.566  104.251  -86.352
     148 -294.973  104.456  -85.779
     149 -296.046  107.157  -86.033
     150 -295.765  106.239  -85.951
     151 -295.366  107.587  -88.738
     152 -294.939  106.013  -89.411
     153 -295.074  108.172  -89.536
     154 -295.381  106.910  -91.538
     155 -295.872  109.623  -89.082
     156 -294.990  108.539  -92.519
     157 -294.948  107.630  -89.557
     158 -295.639  108.043  -89.671
     159 -293.845  104.357  -88.698
     160 -295.499  107.842  -88.068
     161 -294.784  109.400  -85.853
     162 -293.780  108.749  -84.359
     163 -293.749  107.030  -84.884
     164 -296.731  108.151  -82.834
     165 -293.704  108.966  -85.988
     166 -294.677  110.028  -85.884
     167 -295.019  110.785  -83.880
     168 -294.637  109.392  -84.896
     169 -293.522  108.413  -84.453
     170 -293.202  109.054  -85.874
     171 -293.965  108.751  -86.644
     172 -294.559  108.870  -85.213
     173 -297.431  106.351  -87.080
     174 -294.213  107.937  -88.596
     175 -294.226  110.565  -90.197
     176 -296.357  109.753  -88.921
     177 -296.910  109.508  -90.988
     178 -294.105  106.763  -91.414
     179 -295.891  104.682  -89.417
     180 -294.984  104.512  -87.535
     181 -297.754  102.831  -86.925
     182 -295.371  103.996  -86.487
     183 -292.861  103.603  -83.917
     184 -293.770  106.270  -86.943
     185 -296.100  103.839  -87.057
     186 -295.590  106.411  -85.678
     187 -297.604  109.593  -86.564
     188 -294.834  111.409  -86.161
     189 -295.389  111.197  -86.604
     190 -297.756  108.190  -87.831
     191 -298.400  105.065  -87.514
     192 -295.231  109.273  -89.580
     193 -292.800  110.687  -90.916
     194 -295.347  107.371  -91.078
     195 -297.702  105.791  -87.833
     196 -298.703  107.300  -88.610
     197 -298.856  104.909  -90.400
     198 -302.056  103.165  -88.347
     199 -299.043  105.476  -87.512
     200 -297.740  107.531  -85.161
     201 -296.068  105.884  -86.397
     202 -296.037  104.122  -89.625
     203 -297.659  103.779  -89.214
     204 -297.932  102.247  -92.516
     205 -297.528  101.886  -94.598
     206 -297.390  100.376  -94.489
     207 -297.554  101.643  -95.319
     208 -296.557  101.333  -95.858
     209 -296.036  102.165  -98.760
     210 -297.473  101.802  -98.531
     211 -295.427  102.528  -99.868
     212 -297.634  103.858 -100.575
     213 -296.144  105.313 -102.789
     214 -294.181  106.411 -100.746
     215 -293.247  107.297 -102.075
     216 -291.069  108.984 -103.676
     217 -292.525  109.421 -106.263
     218 -290.531  109.002 -109.129
     219 -292.315  109.432 -109.372
     220 -291.978  106.704 -111.764
     221 -292.837  106.069 -111.929
     222 -293.771  104.853 -114.384
     223 -292.892  107.155 -114.630
     224 -292.680  104.518 -112.639
     225 -293.746  103.728 -113.573
     226 -293.654  101.773 -113.882
     227 -292.222  100.700 -115.413
     228 -291.589  104.651 -114.804
     229 -293.228  103.286 -116.167
     230 -293.948  103.774 -116.699
     231 -292.910  103.575 -117.845
     232 -290.303  102.342 -117.962
     233 -289.740  101.477 -116.645
     234 -289.322  100.638 -119.580
     235 -291.904  101.038 -118.996
     236 -293.238   99.277 -121.057
     237 -294.106   98.493 -121.963
     238 -296.147   97.859 -119.930
     239 -298.298   94.987 -119.452
     240 -297.876   94.663 -115.621
     241 -296.254   97.572 -116.691
     242 -297.347   95.504 -116.491
     243 -296.734   96.734 -113.423
     244 -298.047   98.479 -113.287
     245 -298.573   97.156 -111.293
     246 -295.196   98.000 -112.064
     247 -294.575   93.823 -112.659
     248 -294.768   92.367 -112.180
     249 -296.718   94.385 -109.170
     250 -299.788   93.660 -112.257
     251 -296.535   98.811 -111.726
     252 -297.440   95.914 -111.333
     253 -296.654   96.834 -113.524
     254 -293.616   96.392 -110.170
     255 -295.270   99.262 -110.539
     256 -293.014   98.980 -110.345
     257 -293.229   98.868 -111.315
     258 -290.424   97.137 -111.734
     259 -292.458   97.323 -112.285
     260 -290.787   95.145 -110.887
     261 -294.242   95.955 -113.318
     262 -295.157   94.491 -112.275
     263 -295.283   94.317 -113.097
     264 -294.551   93.828 -112.716
     265 -294.259   93.529 -112.741
     266 -295.971   92.339 -113.961
     267 -294.223   89.086 -115.044
     268 -295.431   87.803 -114.246
     269 -295.795   88.816 -112.413
     270 -295.459   90.521 -117.437
     271 -297.432   88.976 -118.016
     272 -296.827   90.539 -118.332
     273 -296.057   87.921 -119.662
     274 -296.275   92.085 -117.370
     275 -297.268   93.882 -115.461
     276 -295.904   97.931 -110.557
     277 -294.597   99.565 -107.862
     278 -294.743  100.532 -108.525
     279 -293.940  101.906 -106.789
     280 -292.056  101.080 -106.347
     281 -292.315  102.202 -104.514
     282 -293.817  105.702 -103.772
     283 -291.554  106.922  -99.602
     284 -291.144  107.203  -98.232
     285 -290.854  107.174  -96.967
     286 -291.633  105.841  -95.486
     287 -291.537  104.864  -95.405
     288 -291.647  103.581  -96.340
     289 -293.215  102.930  -99.466
     290 -293.894  102.821 -101.418
     291 -293.007  103.406 -100.182
     292 -291.664  105.282 -100.112
     293 -293.002  107.642  -99.225
     294 -292.022  108.831 -100.607
     295 -292.841  107.379 -100.078
