#Frame      Mode1    Mode2    Mode3
       1  -52.840  191.999  142.279
       2  -47.419  192.900  140.977
       3  -49.028  190.589  138.299
       4  -46.607  190.775  138.568
       5  -46.861  193.946  138.113
       6  -46.992  193.455  139.161
       7  -48.223  194.844  139.680
       8  -50.604  196.201  139.096
       9  -53.877  193.753  136.895
      10  -53.673  193.264  134.533
      11  -50.527  191.669  136.225
      12  -50.742  194.027  137.064
      13  -50.304  192.614  135.112
      14  -49.286  189.525  136.350
      15  -49.653  189.707  137.733
      16  -54.760  191.792  141.019
      17  -51.747  192.155  139.250
      18  -51.909  191.029  138.094
      19  -53.247  189.100  137.200
      20  -52.657  190.017  136.530
      21  -53.019  187.682  136.543
      22  -51.989  187.202  137.507
      23  -51.621  187.137  138.455
      24  -51.502  183.702  138.249
      25  -49.703  187.289  135.644
      26  -51.752  186.617  135.892
      27  -51.804  188.004  137.075
      28  -53.462  188.767  136.117
      29  -49.992  189.329  134.593
      30  -49.530  188.598  134.894
      31  -50.936  192.005  133.963
      32  -48.355  190.143  134.576
      33  -50.169  193.276  134.769
      34  -45.346  192.949  134.122
      35  -47.741  192.096  133.762
      36  -47.791  192.060  136.751
      37  -45.538  194.828  133.273
      38  -47.143  194.212  133.359
      39  -47.807  196.001  133.607
      40  -47.441  197.288  134.015
      41  -46.747  196.879  136.335
      42  -47.295  193.709  136.511
      43  -44.801  193.687  136.231
      44  -42.987  193.861  134.164
      45  -45.008  193.649  133.095
      46  -43.126  194.341  134.156
      47  -41.533  195.237  132.157
      48  -42.730  194.245  134.947
      49  -40.696  192.382  130.698
      50  -43.517  191.580  135.891
      51  -46.003  191.666  134.465
      52  -48.396  194.420  133.511
      53  -44.002  193.482  131.453
      54  -41.328  192.192  128.772
      55  -38.642  194.030  125.150
      56  -36.857  192.502  127.938
      57  -41.090  193.642  128.283
      58  -37.705  192.797  128.739
      59  -35.062  192.529  128.378
      60  -35.745  194.824  126.450
      61  -35.554  193.967  124.118
      62  -35.483  193.071  121.780
      63  -33.064  194.100  121.122
      64  -30.542  193.852  119.063
      65  -31.196  193.384  119.190
      66  -33.797  191.543  119.897
      67  -32.143  192.750  121.899
      68  -34.986  189.385  119.117
      69  -31.428  188.125  119.829
      70  -32.638  183.319  122.946
      71  -33.888  184.537  125.851
      72  -34.090  184.396  124.136
      73  -32.866  186.984  126.451
      74  -34.024  190.119  126.589
      75  -32.540  191.286  125.031
      76  -30.197  191.296  124.097
