#Frame      Mode1    Mode2    Mode3
       1  -40.906  192.012  122.541
       2  -40.150  188.766  121.771
       3  -43.079  190.729  122.684
       4  -42.235  192.829  123.012
       5  -43.592  194.796  124.808
       6  -43.061  193.482  125.200
       7  -43.434  194.673  125.775
       8  -44.560  193.970  123.790
       9  -42.388  192.403  124.632
      10  -45.306  189.869  126.486
      11  -46.433  187.364  127.696
      12  -45.820  187.627  126.131
      13  -47.586  188.752  128.282
      14  -49.285  189.477  128.388
      15  -47.458  188.804  128.995
      16  -49.363  189.725  130.434
      17  -47.983  189.427  128.084
      18  -47.340  188.964  127.446
      19  -50.153  190.267  130.635
      20  -49.419  190.836  132.015
      21  -49.510  191.415  132.153
      22  -50.371  189.095  132.122
      23  -51.143  187.946  135.135
      24  -51.044  186.959  132.693
      25  -50.755  186.689  131.288
      26  -48.596  186.548  130.998
      27  -47.839  184.990  130.875
      28  -44.688  185.303  131.446
      29  -46.926  184.594  131.831
      30  -45.011  183.242  131.226
      31  -47.810  186.140  129.851
      32  -47.521  186.440  129.101
      33  -47.920  186.729  130.813
      34  -46.177  184.097  130.525
      35  -44.472  182.083  131.273
      36  -46.634  182.791  132.452
      37  -47.130  182.431  132.052
      38  -48.007  183.296  129.426
      39  -49.613  184.381  131.198
      40  -47.006  185.896  130.444
      41  -45.967  185.955  132.265
      42  -47.522  182.912  130.542
      43  -47.967  183.279  129.361
      44  -45.737  185.976  129.406
      45  -44.595  188.527  131.425
      46  -44.330  188.138  131.372
      47  -43.991  190.454  131.982
      48  -46.086  188.487  130.678
      49  -45.797  190.444  133.281
      50  -44.646  190.259  130.128
      51  -47.341  188.991  130.676
      52  -44.556  188.525  131.556
      53  -46.577  188.761  131.051
      54  -46.030  189.420  129.522
      55  -44.268  186.717  127.820
      56  -44.383  185.469  129.292
      57  -45.773  185.206  129.954
      58  -45.305  184.662  126.598
      59  -45.657  185.549  126.183
      60  -46.653  187.976  126.022
      61  -47.976  187.030  127.928
      62  -48.007  185.760  129.151
      63  -46.542  189.217  130.837
      64  -47.404  189.092  130.868
      65  -47.814  189.123  129.217
      66  -46.076  190.280  127.686
      67  -44.453  184.854  129.334
      68  -43.993  182.953  127.371
      69  -46.749  184.501  127.559
      70  -46.096  186.998  129.204
      71  -47.290  184.841  131.355
      72  -46.407  183.771  130.206
      73  -48.004  181.971  132.585
      74  -50.234  181.509  132.693
      75  -49.421  183.418  133.450
      76  -51.214  183.495  132.835
      77  -49.969  182.929  134.072
      78  -51.824  185.333  135.455
      79  -52.055  186.463  134.561
      80  -49.607  188.144  134.047
      81  -51.159  187.499  134.046
      82  -53.200  186.195  131.107
      83  -50.321  186.505  131.083
      84  -51.359  186.773  127.726
      85  -48.952  187.830  127.843
      86  -47.024  187.988  126.915
      87  -48.465  189.524  126.353
      88  -49.457  191.883  125.876
      89  -51.246  192.373  127.377
      90  -49.923  190.573  126.779
      91  -49.837  192.537  126.334
      92  -50.330  191.022  127.778
      93  -49.184  192.296  126.365
      94  -50.607  190.268  126.280
