#Frame      Mode1    Mode2    Mode3
       1 -298.375  109.696 -102.887
       2 -299.189  109.386 -101.919
       3 -298.206  109.867 -100.866
       4 -299.570  111.406 -104.760
       5 -299.066  110.756 -103.348
       6 -299.806  111.087 -102.574
       7 -299.437  112.617 -102.260
       8 -299.072  112.986 -102.371
       9 -299.226  112.509 -103.910
      10 -299.031  111.251 -104.059
      11 -299.424  110.951 -102.974
      12 -297.436  110.533 -102.649
      13 -297.891  111.096 -103.957
      14 -298.165  114.591 -106.055
      15 -295.258  115.782 -102.624
      16 -295.943  114.183 -103.235
      17 -295.689  114.515 -103.010
      18 -296.068  115.068 -103.321
      19 -295.671  114.005  -98.294
      20 -294.267  115.806  -96.434
      21 -294.768  116.972  -95.033
      22 -296.735  117.173  -94.720
      23 -296.363  119.059  -97.430
      24 -298.464  117.885  -97.258
      25 -299.471  117.713  -97.996
      26 -299.859  117.976  -97.615
      27 -300.158  120.237 -101.627
      28 -302.515  120.241 -103.295
      29 -301.470  119.703 -101.639
      30 -300.621  119.765 -104.316
      31 -300.566  118.806 -107.251
      32 -302.519  117.781 -105.974
      33 -302.251  119.482 -106.495
      34 -303.889  119.781 -105.218
      35 -302.720  119.952 -104.683
      36 -302.073  120.668 -103.060
      37 -300.596  122.126 -102.597
      38 -301.094  121.363 -100.355
      39 -302.794  121.658  -99.810
      40 -301.666  121.198 -100.803
      41 -299.231  122.373  -99.198
      42 -299.922  123.904  -98.072
      43 -297.352  122.830  -97.460
      44 -296.310  122.137  -96.035
      45 -296.408  121.054  -95.997
      46 -297.399  123.294  -96.409
      47 -294.122  125.817  -93.294
      48 -294.684  123.931  -95.142
      49 -296.126  122.373  -95.375
      50 -295.913  122.878  -96.589
      51 -294.331  119.977  -96.748
      52 -295.939  119.999  -98.731
      53 -295.959  119.446  -97.919
      54 -297.217  118.729  -95.706
      55 -297.781  119.199  -96.271
      56 -298.548  121.063  -96.692
      57 -298.658  122.006  -94.962
      58 -299.187  119.806  -94.903
      59 -297.076  120.284  -94.623
      60 -294.372  121.067  -93.885
      61 -293.977  118.885  -91.646
      62 -293.709  120.477  -93.094
      63 -294.339  117.295  -93.475
      64 -293.862  118.341  -95.241
      65 -291.598  116.837  -96.404
      66 -292.784  116.129  -96.323
      67 -292.696  119.371  -95.728
      68 -293.953  121.467  -94.875
      69 -294.549  120.113  -95.374
      70 -295.148  118.510  -96.053
      71 -295.343  117.689  -93.505
      72 -298.913  118.476  -93.796
      73 -300.194  117.316  -96.891
      74 -298.034  117.755  -96.129
      75 -298.670  118.091  -98.924
      76 -299.203  117.975  -97.527
      77 -298.564  118.751  -99.075
      78 -298.688  118.503  -98.085
      79 -298.174  116.921  -96.006
      80 -297.760  119.687  -96.383
      81 -297.610  119.442  -98.230
      82 -295.693  118.753  -98.547
      83 -297.580  117.536 -100.324
      84 -298.871  118.638  -97.027
      85 -298.585  118.572  -98.094
      86 -299.964  117.731  -98.134
      87 -298.683  119.049  -99.057
      88 -298.781  119.085  -99.308
