#Frame      Mode1    Mode2    Mode3
       1 -290.210  125.633  -93.666
       2 -291.224  126.964  -95.634
       3 -291.970  125.093  -95.385
       4 -290.705  122.057  -94.241
       5 -291.398  122.656  -95.758
       6 -292.798  122.583  -97.856
       7 -291.325  124.366  -97.140
       8 -293.516  125.792  -99.009
       9 -293.894  125.223 -100.741
      10 -293.616  126.322  -99.908
      11 -292.725  126.785  -99.783
      12 -293.548  128.362 -100.207
      13 -292.253  129.401  -99.055
      14 -291.758  128.486 -103.162
      15 -292.752  129.476 -101.679
      16 -290.218  129.146  -99.582
      17 -290.064  128.258  -99.586
      18 -288.882  128.574  -96.461
      19 -290.349  127.498  -95.897
      20 -290.721  123.661  -97.179
      21 -293.452  122.760  -98.685
      22 -294.315  121.525  -98.035
      23 -293.411  121.780  -95.905
      24 -294.198  123.919  -98.203
      25 -293.452  121.571  -94.251
      26 -292.847  123.836  -97.807
      27 -293.007  123.364  -96.740
      28 -293.966  123.775  -98.796
      29 -293.880  123.607  -97.069
      30 -294.776  123.556  -99.446
      31 -292.713  122.912  -98.083
      32 -294.476  121.819  -99.850
      33 -292.698  122.177 -102.628
      34 -292.724  125.582 -100.415
      35 -293.077  124.289 -102.080
      36 -291.025  126.260 -102.421
      37 -291.841  126.540 -104.669
      38 -290.536  128.292 -103.874
      39 -291.172  126.930 -103.011
      40 -291.890  127.343 -100.114
      41 -290.751  129.247 -100.472
      42 -292.404  127.564 -105.588
      43 -293.115  125.490 -105.265
      44 -292.568  126.249 -104.894
      45 -293.643  123.970 -105.182
      46 -294.165  124.693 -107.919
      47 -293.745  126.042 -109.212
      48 -294.216  128.817 -111.026
      49 -293.875  123.377 -109.739
      50 -294.780  122.327 -110.086
      51 -296.241  123.175 -112.490
      52 -296.582  118.311 -112.393
      53 -297.433  119.517 -118.650
      54 -293.732  119.646 -117.420
      55 -296.224  122.458 -115.815
      56 -294.606  120.605 -117.559
      57 -297.382  117.304 -116.661
      58 -296.515  118.914 -116.040
      59 -296.707  121.409 -115.534
      60 -295.614  121.202 -116.745
      61 -296.051  122.731 -116.538
      62 -296.008  121.707 -115.605
      63 -297.394  122.387 -118.532
      64 -295.319  121.497 -118.813
      65 -298.339  119.659 -118.297
      66 -298.988  118.181 -114.913
      67 -299.187  119.626 -109.866
      68 -298.564  119.819 -112.422
      69 -298.584  123.698 -112.945
      70 -298.041  121.979 -113.663
      71 -295.556  118.965 -108.710
      72 -296.990  119.214 -107.929
      73 -298.500  119.871 -105.712
      74 -298.583  117.538 -109.619
      75 -299.966  118.710 -110.189
      76 -300.413  120.501 -106.560
      77 -297.848  124.384 -104.507
      78 -296.228  122.465 -104.380
      79 -299.968  123.182 -102.584
      80 -298.225  122.280  -99.978
      81 -298.345  123.089 -101.111
      82 -296.915  122.007 -100.874
      83 -299.178  120.319 -101.756
      84 -297.461  122.888  -98.579
      85 -297.883  120.484  -99.366
      86 -297.194  121.172  -99.369
      87 -296.639  120.481  -98.907
      88 -295.410  121.224  -96.452
      89 -294.058  121.972  -94.018
      90 -294.451  124.366  -91.031
      91 -295.312  122.872  -91.534
      92 -296.535  123.431  -93.345
      93 -297.426  122.153  -96.420
      94 -296.145  123.511  -97.106
      95 -295.410  121.474  -97.016
      96 -297.404  126.990  -96.317
      97 -295.985  126.217  -96.439
      98 -292.474  125.713  -95.254
      99 -291.125  129.040  -96.519
     100 -292.331  128.472  -99.915
     101 -291.250  127.099  -97.723
     102 -291.576  128.953  -96.075
     103 -291.848  128.723  -94.929
     104 -292.962  128.103  -94.275
     105 -295.399  123.801  -96.758
     106 -293.850  125.633  -94.880
     107 -295.419  122.709 -101.270
     108 -293.544  121.993 -100.576
     109 -295.448  122.801 -103.365
     110 -293.456  121.226 -104.060
     111 -293.401  123.687 -102.773
     112 -292.372  121.451 -104.962
     113 -291.096  121.843 -104.826
     114 -292.632  122.875 -104.942
     115 -293.670  119.912 -104.166
     116 -295.552  122.063 -106.496
     117 -293.635  118.217 -106.886
     118 -295.673  118.322 -107.837
     119 -293.352  119.423 -106.453
     120 -296.055  120.705 -103.510
     121 -295.996  121.509 -107.643
     122 -296.691  117.610 -102.770
     123 -295.686  116.245 -103.436
     124 -295.630  117.590 -103.995
     125 -296.767  113.614 -105.470
     126 -297.285  114.599 -104.624
