#Frame      Mode1    Mode2    Mode3
       1 -290.343  114.003 -123.967
       2 -290.079  112.360 -123.340
       3 -290.893  115.345 -123.067
       4 -290.878  117.674 -121.546
       5 -291.910  115.815 -122.487
       6 -290.947  115.928 -122.557
       7 -291.276  120.830 -121.744
       8 -288.853  121.066 -123.356
       9 -289.444  120.860 -122.651
      10 -288.771  120.524 -121.875
      11 -290.712  120.413 -121.825
      12 -289.508  121.718 -120.657
      13 -288.823  123.868 -122.083
      14 -289.655  121.646 -119.651
      15 -289.963  123.385 -121.790
      16 -290.688  122.119 -124.761
      17 -290.426  122.819 -122.279
      18 -289.708  123.833 -122.339
      19 -289.245  125.157 -123.233
      20 -289.227  122.734 -125.136
      21 -289.566  125.452 -123.706
      22 -287.608  127.004 -122.074
      23 -289.086  125.313 -121.427
      24 -288.854  124.358 -122.973
      25 -289.975  125.969 -121.882
      26 -289.051  124.749 -123.230
      27 -289.933  123.548 -121.588
      28 -290.171  124.411 -122.097
      29 -290.489  123.116 -120.594
      30 -289.729  122.978 -120.678
      31 -290.438  124.358 -119.733
      32 -288.639  122.548 -118.181
      33 -286.730  124.019 -117.288
      34 -287.593  124.876 -117.180
      35 -288.320  123.950 -116.275
      36 -290.776  122.157 -116.535
      37 -289.559  120.673 -116.448
      38 -291.846  119.896 -115.350
      39 -291.250  121.293 -110.659
      40 -290.991  122.807 -112.057
      41 -290.298  122.491 -115.109
      42 -288.470  122.253 -115.628
      43 -289.927  123.557 -114.922
      44 -288.235  122.814 -114.378
      45 -286.867  121.683 -114.541
      46 -288.956  123.792 -115.329
      47 -288.533  123.125 -115.255
      48 -290.202  124.439 -113.832
      49 -289.324  123.163 -113.576
      50 -287.812  123.494 -114.801
      51 -289.564  123.030 -116.317
      52 -289.685  125.055 -114.375
      53 -289.746  125.666 -114.276
      54 -291.232  124.356 -113.613
      55 -291.150  127.485 -112.999
      56 -291.679  125.774 -114.392
      57 -290.640  127.774 -114.175
      58 -292.433  127.808 -112.910
      59 -290.637  127.210 -111.294
      60 -292.231  125.806 -110.140
      61 -291.051  125.391 -109.849
      62 -290.361  125.113 -109.580
      63 -290.567  123.578 -110.796
      64 -290.294  121.984 -111.595
      65 -290.184  121.496 -111.335
      66 -287.708  120.465 -109.255
      67 -287.838  122.611 -107.889
      68 -285.932  123.268 -109.448
      69 -290.480  121.788 -109.487
      70 -291.116  122.774 -109.221
      71 -292.511  121.393 -112.512
      72 -292.100  122.099 -111.620
      73 -291.451  120.322 -113.154
      74 -290.693  120.529 -113.618
      75 -291.096  118.735 -114.221
      76 -293.589  117.206 -114.458
      77 -291.594  118.332 -112.625
      78 -290.112  117.784 -112.285
      79 -290.769  117.838 -112.737
      80 -290.951  115.494 -113.666
      81 -290.386  118.127 -113.436
      82 -290.008  119.180 -115.850
      83 -289.914  119.302 -112.848
      84 -291.663  119.348 -112.112
      85 -290.435  118.827 -112.737
      86 -290.437  117.325 -109.991
      87 -292.199  118.114 -109.894
      88 -290.342  121.530 -110.715
      89 -291.168  121.838 -110.610
      90 -293.360  123.808 -110.298
      91 -290.446  122.687 -113.074
      92 -293.069  123.486 -112.091
      93 -293.115  121.799 -113.280
      94 -292.070  118.732 -112.911
      95 -293.104  119.699 -113.893
      96 -291.980  117.811 -113.570
      97 -291.595  119.694 -113.276
      98 -291.537  121.452 -113.664
      99 -290.608  122.309 -111.569
     100 -289.784  121.775 -111.812
     101 -288.331  120.686 -111.958
     102 -289.844  119.860 -112.974
     103 -289.492  121.341 -112.863
     104 -290.234  122.940 -111.572
     105 -287.143  123.906 -109.561
     106 -286.851  125.362 -107.592
     107 -287.270  126.741 -107.657
     108 -286.387  127.155 -107.296
     109 -286.767  127.205 -105.480
     110 -288.014  128.154 -106.105
     111 -287.351  126.678 -105.948
     112 -286.036  126.205 -106.368
     113 -286.625  125.853 -104.513
     114 -285.744  128.168 -105.187
     115 -284.560  127.463 -105.678
     116 -286.534  127.846 -107.020
     117 -285.227  128.530 -107.189
     118 -285.003  128.746 -107.951
     119 -285.531  129.009 -109.698
     120 -287.471  126.847 -110.743
     121 -288.056  126.173 -112.331
     122 -289.136  124.659 -111.877
     123 -286.833  125.274 -110.026
     124 -289.010  125.781 -110.445
     125 -289.732  126.708 -109.469
     126 -289.474  125.585 -108.484
     127 -290.244  123.199 -107.587
     128 -290.884  124.511 -105.900
     129 -289.020  126.807 -106.791
     130 -288.114  127.262 -105.032
     131 -289.562  124.755 -104.648
     132 -291.552  123.749 -107.199
     133 -288.231  122.882 -104.938
     134 -289.571  124.096 -103.785
     135 -288.065  124.161 -104.621
     136 -289.331  122.505 -106.175
     137 -287.146  123.513 -107.431
     138 -288.587  124.666 -108.765
     139 -288.454  125.101 -108.313
     140 -289.716  127.293 -110.042
     141 -288.064  124.121 -109.875
     142 -288.433  124.895 -108.688
     143 -289.431  123.973 -105.825
     144 -289.725  124.645 -108.245
     145 -288.533  121.371 -107.351
     146 -287.512  121.092 -108.220
     147 -288.356  121.488 -108.431
     148 -290.751  124.318 -108.237
     149 -290.283  121.674 -108.249
     150 -290.535  122.331 -108.866
     151 -288.976  121.835 -105.790
     152 -289.574  121.606 -104.269
     153 -288.492  121.469 -102.063
     154 -290.200  121.221 -104.465
     155 -289.247  121.575 -104.677
     156 -290.566  120.394 -104.365
     157 -289.037  121.114 -104.765
     158 -292.283  119.903 -105.399
     159 -292.289  118.528 -104.046
     160 -294.608  118.627 -104.550
     161 -295.088  118.525 -105.069
     162 -295.236  116.949 -106.000
     163 -293.380  115.445 -105.607
     164 -293.978  115.338 -103.927
     165 -295.035  117.416 -104.585
     166 -295.777  116.431 -107.085
     167 -295.549  117.593 -106.426
     168 -297.134  119.484 -105.490
     169 -294.290  118.578 -106.199
     170 -294.329  118.535 -105.124
     171 -295.279  118.459 -105.802
     172 -294.766  120.148 -105.006
     173 -294.007  116.878 -105.725
     174 -293.700  119.175 -104.850
     175 -294.228  118.626 -104.617
     176 -293.803  117.927 -103.734
     177 -293.133  118.634 -102.923
     178 -292.527  118.794 -100.167
     179 -293.916  122.121  -99.824
     180 -294.010  122.979  -97.748
     181 -291.040  120.903  -99.575
     182 -291.580  119.979  -99.419
     183 -291.787  120.293 -101.109
     184 -290.851  118.301  -98.415
     185 -289.965  120.606  -98.906
     186 -290.606  119.946 -100.472
     187 -291.258  119.491  -99.062
     188 -290.032  121.249  -99.716
     189 -291.505  122.522 -100.657
     190 -292.094  123.083 -102.064
     191 -292.067  123.381  -99.549
     192 -293.157  122.473 -101.051
     193 -292.105  122.996 -103.295
     194 -292.643  121.439 -102.454
     195 -293.488  122.917 -100.767
     196 -292.305  122.843 -103.113
     197 -291.985  121.883 -103.574
     198 -291.430  121.603 -103.032
     199 -290.746  122.812 -103.327
     200 -293.756  120.827 -105.033
     201 -292.805  119.935 -103.030
     202 -291.271  120.142 -101.874
     203 -292.370  120.606  -99.462
     204 -291.879  119.460 -100.667
     205 -292.747  119.931  -99.022
     206 -294.854  119.146  -97.983
     207 -293.412  118.481  -98.026
     208 -294.290  118.482  -99.430
     209 -295.848  118.824  -99.611
     210 -294.847  117.009 -101.082
     211 -296.738  119.558 -100.345
     212 -296.146  122.057 -100.938
     213 -296.440  120.697 -100.854
     214 -297.167  121.660 -100.982
     215 -295.708  121.270  -99.267
     216 -293.541  120.282  -96.953
     217 -292.067  121.190  -95.085
