Frame    RMSD_medio
1.000 2.293
2.000 2.290
3.000 2.136
4.000 2.240
5.000 2.262
6.000 2.269
7.000 2.264
8.000 2.179
9.000 2.192
10.000 2.247
11.000 2.237
12.000 2.237
13.000 2.195
14.000 2.264
15.000 2.251
16.000 2.216
17.000 2.189
18.000 2.206
19.000 2.189
20.000 2.300
21.000 2.257
22.000 2.203
23.000 2.136
24.000 2.195
25.000 2.071
26.000 2.093
27.000 2.129
28.000 2.095
29.000 2.137
30.000 2.095
31.000 2.133
32.000 2.098
33.000 2.168
34.000 2.153
35.000 2.062
36.000 2.163
37.000 2.052
38.000 2.071
39.000 2.076
40.000 2.079
41.000 2.093
42.000 2.156
43.000 2.095
44.000 2.049
45.000 2.108
46.000 2.143
47.000 2.118
48.000 2.087
49.000 2.130
50.000 2.115
51.000 2.061
52.000 2.031
53.000 2.030
54.000 2.038
55.000 2.067
56.000 2.102
57.000 2.035
58.000 2.079
59.000 2.117
60.000 2.144
61.000 2.055
62.000 2.104
63.000 2.084
64.000 2.162
65.000 2.136
66.000 2.162
67.000 2.207
68.000 2.234
69.000 2.124
70.000 2.152
71.000 2.145
72.000 2.146
73.000 2.080
74.000 2.115
75.000 2.105
76.000 2.115
77.000 2.101
78.000 2.150
79.000 2.101
80.000 2.114
81.000 2.115
82.000 2.145
83.000 2.103
84.000 2.131
85.000 2.050
86.000 2.100
87.000 2.110
88.000 2.103
89.000 2.167
90.000 2.158
91.000 2.128
92.000 2.173
93.000 2.073
94.000 2.112
95.000 2.089
96.000 2.136
97.000 2.134
98.000 2.131
99.000 2.175
100.000 2.168
101.000 2.138
102.000 2.025
103.000 2.049
104.000 2.052
105.000 2.076
106.000 2.110
107.000 2.065
108.000 2.059
109.000 2.112
110.000 2.061
111.000 2.118
112.000 2.227
113.000 2.113
114.000 2.162
115.000 2.139
116.000 2.135
117.000 2.140
118.000 2.127
119.000 2.201
120.000 2.207
121.000 2.129
122.000 2.269
123.000 2.189
124.000 2.134
125.000 2.144
126.000 2.094
127.000 2.139
128.000 2.167
129.000 2.180
130.000 2.172
131.000 2.188
132.000 2.187
133.000 2.217
134.000 2.088
135.000 2.230
136.000 2.187
137.000 2.265
138.000 2.238
139.000 2.241
140.000 2.246
141.000 2.262
142.000 2.266
143.000 2.251
144.000 2.267
145.000 2.317
146.000 2.208
147.000 2.167
148.000 2.163
149.000 2.213
150.000 2.213
151.000 2.296
152.000 2.268
153.000 2.232
154.000 2.261
155.000 2.240
156.000 2.243
157.000 2.275
158.000 2.245
159.000 2.252
160.000 2.269
161.000 2.215
162.000 2.162
163.000 2.212
164.000 2.193
165.000 2.279
166.000 2.275
167.000 2.246
168.000 2.256
169.000 2.143
170.000 2.223
171.000 2.220
172.000 2.196
173.000 2.208
174.000 2.254
175.000 2.267
176.000 2.250
177.000 2.244
178.000 2.221
179.000 2.214
180.000 2.239
181.000 2.238
182.000 2.246
183.000 2.284
184.000 2.245
185.000 2.219
186.000 2.261
187.000 2.263
188.000 2.241
189.000 2.246
190.000 2.198
191.000 2.099
192.000 2.168
193.000 2.244
194.000 2.209
195.000 2.253
196.000 2.247
197.000 2.235
198.000 2.154
199.000 2.214
200.000 2.243
201.000 2.133
202.000 2.077
203.000 2.083
204.000 2.058
205.000 2.075
206.000 2.047
207.000 2.132
208.000 2.163
209.000 2.152
210.000 2.209
211.000 2.157
212.000 2.216
213.000 2.101
214.000 2.073
215.000 2.072
216.000 2.140
217.000 2.079
218.000 2.136
219.000 2.070
220.000 2.123
221.000 2.142
222.000 2.082
223.000 2.164
224.000 2.139
225.000 2.125
226.000 2.090
227.000 2.105
228.000 2.128
229.000 2.158
230.000 2.176
231.000 2.082
232.000 2.116
233.000 2.157
234.000 2.199
235.000 2.141
236.000 2.134
237.000 2.137
238.000 2.191
239.000 2.084
240.000 2.124
241.000 2.126
242.000 2.207
243.000 2.164
244.000 2.129
245.000 2.143
246.000 2.152
247.000 2.158
248.000 2.134
249.000 2.264
250.000 2.105
251.000 2.173
252.000 2.207
253.000 2.197
254.000 2.138
255.000 2.090
256.000 2.106
257.000 2.114
258.000 2.158
